pond,station,haul.winter,haul.date_jul,soak_days,lunar.illumination,range.depth_m,mean.water.temp_c,min.water.temp_c,max.water.temp_c,range.water.temp_c,skewness.water.temp,kurtosis.water.temp,bimodality.water.temp,air.temp_c,air.temp.range_c,heating.degrees_day,salinity_ppt,delta.salinity_ppt.day,do_mg.l,delta.do_mg.l.day,precip_mm.day,wind_m.s,wfl_freq,wfl_binary
PP,PP1,2022,95,3,0.01735253287669765,0.43,1.5719453924914677,-0.51,3.48,3.99,-0.2980008696184302,2.4123301864556725,0.4440581269595199,-3.1375,33.8,21.1375,29.76,-0.5733333333333341,11.875,0.016666666666666902,0,1.525,0,0
PP,PP3,2022,95,3,0.01735253287669765,0.5699999999999998,1.8183333333333336,0.06,3.99,3.93,0.029817923797063575,2.564288301752484,0.3837154526039159,-3.1375,33.8,21.1375,29.455,0.1633333333333328,11.825,0.34999999999999964,0,1.525,3,1
NP,NP1,2022,89,4,0.356718192009931,0.41000000000000014,2.7455080213903744,-0.26,5.04,5.3,-0.09989676616526806,2.5740946407487684,0.3871679568084697,-4.84,22,22.84,29.255000000000003,-0.3174999999999999,11.315,-0.0674999999999999,0.26,2.1,0,0
PP,PP1,2022,89,4,0.356718192009931,0.4600000000000001,1.6112182741116752,-0.25,3.53,3.78,0.21088516960374123,2.1788602624068165,0.47345921006370817,-4.84,22,22.84,30.175,0.01750000000000007,11.86,-0.1299999999999999,0.26,2.1,5,1
PP,PP3,2022,89,4,0.356718192009931,0.4500000000000002,2.7642131979695432,0.5,4.07,3.5700000000000003,-0.5477110727081635,2.8059612688145736,0.4582455541548327,-4.84,22,22.84,29.74,0.125,11.55,0.02499999999999991,0.26,2.1,3,1
NP,NP5,2022,88,3,0.4042749680273035,0.68,3.2111111111111112,1.87,4.67,2.8,0.20973278916393412,2.2817837230624587,0.44957856881272446,-5,22,23,30.065,-0.05000000000000071,11.17,-0.046666666666666856,0.32500000000000007,2.125,0,0
NP,NP1,2022,85,4,0.7482012186132484,0.56,2.073832487309645,-0.99,4.39,5.38,-0.2477317924813054,2.005015013266219,0.5228959173685525,-4.300000000000001,16.9,22.3,29.675,0.10749999999999992,11.045,0.20249999999999968,0.96,2.78,0,0
NP,NP5,2022,85,4,0.7482012186132484,0.5000000000000001,2.4306091370558374,0.39,4.64,4.25,0.04551514335471171,1.9871285547857092,0.4979123095587882,-4.300000000000001,16.9,22.3,29.995,0.07249999999999979,10.77,0.23499999999999988,0.96,2.78,0,0
PP,PP1,2022,85,4,0.7482012186132484,0.64,0.8133423913043478,-1.28,3.11,4.39,0.4143548242716369,2.4317528310357512,0.47587954970381846,-4.300000000000001,16.9,22.3,29.77,0.1850000000000005,11.86,0.1299999999999999,0.96,2.78,2,1
PP,PP3,2022,85,4,0.7482012186132484,0.6699999999999999,1.6909809264305178,-0.62,4.22,4.84,-0.18800696947411985,2.221121922207299,0.4599395807427271,-4.300000000000001,16.9,22.3,28.745,0.3724999999999996,11.6,-0.04999999999999982,0.96,2.78,3,1
NP,NP3,2022,81,7,0.9379233418708618,1.26,2.8027802690582955,-0.59,5.85,6.44,-0.16108070196654642,2.607043731145248,0.3906383282548504,-1.83125,26.9,19.83125,28.525,0.3785714285714289,11.6,-0.3714285714285714,4.1,4.2875,7,1
NP,NP5,2022,81,7,0.9379233418708618,0.8,2.5277341389728094,-0.93,5.73,6.66,0.07680979911401246,2.4075026685758774,0.4146807477034729,-1.83125,26.9,19.83125,28.525,0.3785714285714289,11.6,-0.3714285714285714,4.1,4.2875,6,1
NP,NP1,2022,74,3,0.6716956327042289,0.41000000000000014,2.507173913043478,-0.02,4.61,4.63,-0.15558346318875474,1.915068516197836,0.5253109783569793,-3.95,23.6,21.950000000000003,29.85,-0.10000000000000024,11.2,-0.4000000000000004,1.0749999999999995,2.525,2,1
NP,NP3,2022,74,3,0.6716956327042289,0.51,3.0158156028368794,1.56,4.63,3.07,0.2409044318283667,2.3357924991762857,0.4452367431309981,-3.95,23.6,21.950000000000003,28.05,-0.5666666666666664,12.1,0.5333333333333332,1.0749999999999995,2.525,6,1
NP,NP5,2022,74,3,0.6716956327042289,0.62,2.319788732394366,0.35,4.64,4.29,0.189352137094545,2.401571414694536,0.4239235452441497,-3.95,23.6,21.950000000000003,27.65,-0.3000000000000007,12.05,0.566666666666667,1.0749999999999995,2.525,2,1
NP,NP1,2022,71,4,0.32124051535768355,0.46,3.792185929648241,-0.06,6.28,6.34,-0.6266427795847849,2.6509715317884304,0.5198807898076552,-2.74,20.6,20.74,29.75,0.125,11.1,0.3500000000000001,6.46,3.14,3,1
NP,NP3,2022,71,4,0.32124051535768355,0.4,4.752634271099744,2.86,7.14,4.279999999999999,0.7550033802347994,2.4273849436254262,0.6403484931848586,-2.74,20.6,20.74,28.3,0.2999999999999998,11.1,0.10000000000000007,6.46,3.14,11,1
NP,NP5,2022,71,4,0.32124051535768355,0.6100000000000001,3.982538461538461,1.28,7.15,5.87,0.26005582934658045,2.370614417354755,0.44482461258544,-2.74,20.6,20.74,26.75,0.6750000000000007,12.05,-0.42500000000000027,6.46,3.14,4,1
NP,NP1,2022,67,2,0.07986491237211575,0.46,5.745860215053764,4.25,6.97,2.72,-0.3950785460441376,1.5666920228779178,0.7198150191428669,-0.2833333333333336,21.2,18.28333333333333,30.27,-0.7699999999999996,10.36,0.04000000000000004,4.066666666666666,3.3000000000000003,1,1
NP,NP3,2022,67,2,0.07986491237211575,0.45000000000000007,5.56186170212766,4.45,6.72,2.27,-0.14716042440414526,2.653263736557294,0.3750201461412685,-0.2833333333333336,21.2,18.28333333333333,28.81,-1.1100000000000012,10.45,0.4500000000000002,4.066666666666666,3.3000000000000003,6,1
NP,NP5,2022,67,2,0.07986491237211575,0.55,5.171947368421052,3.14,6.12,2.98,-0.9205832368997134,2.486544878216075,0.7288947946017179,-0.2833333333333336,21.2,18.28333333333333,27.54,-2.140000000000001,11.6,1.2999999999999998,4.066666666666666,3.3000000000000003,4,1
NP,NP1,2021,165,5,0.03260845705781998,0.56,10.389522821576763,8.31,12.83,4.52,-0.03920368937940059,1.911308044399844,0.5185910228551851,9.358333333333334,16.200000000000003,8.641666666666666,30.265,-0.12999999999999973,9.260000000000002,-0.05199999999999996,0.13333333333333333,3.25,4,1
NP,NP3,2021,165,5,0.03260845705781998,0.5099999999999998,11.953933054393303,8.41,15.1,6.69,-0.003262824881467615,2.00672724961049,0.4931317605315573,9.358333333333334,16.200000000000003,8.641666666666666,29.275,-0.06999999999999958,9.91,-0.03599999999999994,0.13333333333333333,3.25,6,1
PP,PP1,2021,165,5,0.03260845705781998,0.6599999999999999,11.657020833333332,8.44,14.47,6.030000000000001,-0.12424705514690804,2.309958126024497,0.4350670546005458,9.358333333333334,16.200000000000003,8.641666666666666,30.91,0.043999999999999775,8.4,-0.4,0.13333333333333333,3.25,0,0
PP,PP3,2021,165,5,0.03260845705781998,0.8799999999999999,10.446270833333331,8.27,13.36,5.09,0.23042665196150836,2.2166608233787213,0.4702969728333148,9.358333333333334,16.200000000000003,8.641666666666666,28.915,0.15399999999999991,10.625,-0.029999999999999714,0.13333333333333333,3.25,0,0
NP,NP1,2021,160,3,0.1910803154459355,0.41000000000000014,10.880874125874126,8.84,13.73,4.890000000000001,0.7614555240201888,3.053796679025975,0.5103033308994054,9.3125,19.7,8.6875,30.77,-0.11999999999999982,9.175,0.14333333333333323,0,2.275,1,1
NP,NP3,2021,160,3,0.1910803154459355,0.31999999999999984,11.373754385964912,8.65,13.28,4.629999999999999,-0.3183464278166082,2.469980401037628,0.43853600892821865,9.3125,19.7,8.6875,29.7,-0.16666666666666666,9.545,0.3033333333333334,0,2.275,3,1
NP,NP5,2021,160,3,0.1910803154459355,0.3900000000000001,11.423519163763066,9.91,13.13,3.2200000000000006,-0.30714850915407693,2.1107634972227216,0.5099320407960674,9.3125,19.7,8.6875,29.7,-0.16666666666666666,9.545,0.3033333333333334,0,2.275,0,0
PJ,PJ7,2021,160,3,0.1910803154459355,1.05,12.231643356643357,9.88,16.11,6.229999999999999,0.987374842392733,3.9650277268140175,0.491974924030943,9.3125,19.7,8.6875,27.095,-0.7766666666666673,10.195,0.13666666666666671,0,2.275,0,0
PP,PP1,2021,160,3,0.1910803154459355,0.54,11.493031358885018,8.3,14.62,6.319999999999999,-0.019588275952944698,2.818225314641829,0.3488167506246037,9.3125,19.7,8.6875,30.515,0.19000000000000009,9.34,0.040000000000000334,0,2.275,0,0
PP,PP3,2021,160,3,0.1910803154459355,0.81,10.24761403508772,7.94,12.55,4.61,-0.3213382521911772,2.755373157893773,0.3938035534801511,9.3125,19.7,8.6875,28.715,-0.12333333333333248,10.345,0.2366666666666664,0,2.275,0,0
NP,NP1,2021,157,6,0.6209733091856589,1.45,8.46672384219554,6.3,10.96,4.660000000000001,-0.18866974960027688,2.370781345983488,0.433156099250132,6.435714285714286,23.9,11.564285714285717,30.3,0.2166666666666668,9.195,-0.07833333333333314,3.7428571428571424,3.4285714285714284,5,1
NP,NP3,2021,157,6,0.6209733091856589,0.46999999999999975,9.41761658031088,7.17,11.66,4.49,0.2236952071609372,2.602706183977828,0.4000651241895961,6.435714285714286,23.9,11.564285714285717,29.175,0.25833333333333347,9.545,-0.1516666666666667,3.7428571428571424,3.4285714285714284,3,1
NP,NP5,2021,157,6,0.6209733091856589,0.46999999999999975,9.55578856152513,7.03,11.47,4.44,-0.1254307883207684,3.5305887949156123,0.28523113160779373,6.435714285714286,23.9,11.564285714285717,29.175,0.25833333333333347,9.545,-0.1516666666666667,3.7428571428571424,3.4285714285714284,1,1
PJ,PJ7,2021,157,7,0.6620980077450146,1.5600000000000005,10.127127659574468,7.6,12.18,4.58,0.111681682730635,4.532387469030524,0.22170484311534197,6.075,23.9,11.925,26.415,0.5271428571428574,9.92,0.02000000000000008,3.275,3.3375,0,0
PP,PP1,2021,157,7,0.6620980077450146,0.6,9.14468085106383,6.27,11.33,5.0600000000000005,-0.3915621598782561,2.2151692961156138,0.5170134263643601,6.075,23.9,11.925,30.455,-0.06428571428571418,12.53,0,3.275,3.3375,2,1
PP,PP3,2021,157,7,0.6620980077450146,1.15,8.801428571428572,6.71,11.09,4.38,-0.17461544106773458,2.052058538170253,0.49843375433626685,6.075,23.9,11.925,28.9,0,10.62,-0.17999999999999997,3.275,3.3375,0,0
NP,NP1,2021,151,6,0.9557608038496866,0.5299999999999998,8.405820105820107,6.51,10.86,4.35,0.1060689468374167,2.285141636785125,0.4386661747955722,9.585714285714284,24.9,8.414285714285715,30.18,-0.17666666666666703,9.66,-0.07666666666666681,4.185714285714285,3.7142857142857135,4,1
NP,NP3,2021,151,6,0.9557608038496866,0.8700000000000001,9.87646234676007,7.14,11.59,4.45,-0.9557673520177614,4.335814388194088,0.43856961985067927,9.585714285714284,24.9,8.414285714285715,28.3,0.033333333333333215,10.595,-0.19833333333333325,4.185714285714285,3.7142857142857135,2,1
NP,NP5,2021,151,6,0.9557608038496866,0.4000000000000004,9.888846153846156,7.27,11.51,4.24,-0.47921961568989085,2.814144841705565,0.4335699247942492,9.585714285714284,24.9,8.414285714285715,28.3,0.033333333333333215,10.595,-0.19833333333333325,4.185714285714285,3.7142857142857135,6,1
PJ,PJ7,2021,150,5,0.9660895059264027,1.76,10.502581300813008,7.36,12.93,5.569999999999999,0.027821672323538868,3.676460735436952,0.2694540332859366,9.416666666666666,24.9,8.583333333333334,25.505000000000003,-0.3740000000000002,10.17,-0.1280000000000001,4.883333333333334,3.65,0,0
PP,PP1,2021,150,5,0.9660895059264027,0.72,9.39795918367347,6.9,11.74,4.84,0.1211301244983836,2.085683707395088,0.4815867553282709,9.416666666666666,24.9,8.583333333333334,29.91,0.30799999999999983,11.39,0.4559999999999999,4.883333333333334,3.65,3,1
PP,PP3,2021,150,5,0.9660895059264027,0.4800000000000002,8.823894523326572,6.6,11.03,4.43,-0.6196637981846954,2.8676202729323825,0.47855437937790496,9.416666666666666,24.9,8.583333333333334,29.31,-0.16400000000000006,11.12,0.05199999999999996,4.883333333333334,3.65,0,0
NP,NP1,2021,145,3,0.7898087697794146,0.5800000000000001,9.637050847457626,7.53,11.95,4.419999999999999,-0.3494484367259997,2.436310735136561,0.4533154873209952,8.375,24.4,9.625,29.58,0.7533333333333339,10.405,-0.3433333333333331,0.325,2.325,6,1
NP,NP3,2021,145,3,0.7898087697794146,0.26,9.40956228956229,7.99,10.67,2.68,-0.5931247526623737,2.8391274750911677,0.4693949380671706,8.375,24.4,9.625,28.245,-0.029999999999999957,10.905,0.19000000000000009,0.325,2.325,0,0
NP,NP5,2021,145,3,0.7898087697794146,0.68,9.242233333333331,7.32,10.48,3.16,-0.9360730989195124,3.581033159835671,0.5176724168715745,8.375,24.4,9.625,28.245,-0.029999999999999957,10.905,0.19000000000000009,0.325,2.325,2,1
PJ,PJ7,2021,145,3,0.7898087697794146,0.9200000000000002,9.400434782608697,8.37,10.9,2.530000000000001,0.21754510031199475,2.111243552246595,0.4873708830338384,8.375,24.4,9.625,21.79,3.1,11.78,-0.86,0.325,2.325,0,0
PP,PP1,2021,145,3,0.7898087697794146,0.44,9.875111111111112,6.52,11.87,5.35,-0.7919181703413287,2.684183209445504,0.5975993239767402,8.375,24.4,9.625,29.565,-0.2833333333333326,11.13,-0.5866666666666666,0.325,2.325,0,0
PP,PP3,2021,145,3,0.7898087697794146,0.48,9.06129151291513,6.9,10.72,3.82,-0.6902984839880867,2.3515091768922267,0.6185985160651967,8.375,24.4,9.625,29.435,0.19000000000000009,12.14,-0.7666666666666663,0.325,2.325,0,0
NP,NP1,2021,142,5,0.4015543339392733,0.6400000000000001,5.63572340425532,4.06,7.97,3.91,0.699695659717762,2.2066294174946037,0.6692940983154513,2.766666666666667,22.1,15.233333333333333,29.035,-0.23400000000000035,10.78,0.05599999999999987,4.566666666666666,2.1833333333333336,1,1
NP,NP3,2021,142,5,0.4015543339392733,0.6600000000000001,6.164510638297873,4.57,8.89,4.32,0.6922871272368722,2.216008384628028,0.6618275410735519,2.766666666666667,22.1,15.233333333333333,28.995,-0.28200000000000003,10.905,-0.11400000000000006,4.566666666666666,2.1833333333333336,5,1
PJ,PJ7,2021,142,5,0.4015543339392733,1.2799999999999998,6.031431492842536,4.24,9.41,5.17,0.8141196652935688,2.694582612284369,0.6122967915723587,2.766666666666667,22.1,15.233333333333333,22.82,-2.272,12.085,0.3940000000000001,4.566666666666666,2.1833333333333336,0,0
PP,PP1,2021,142,5,0.4015543339392733,0.6799999999999999,5.688108651911469,3.72,9.24,5.52,0.8649224405225946,2.7013575271598507,0.6422875523303545,2.766666666666667,22.1,15.233333333333333,30.075,-0.03400000000000034,11.585,0.16999999999999993,4.566666666666666,2.1833333333333336,3,1
PP,PP3,2021,142,5,0.4015543339392733,1.33,5.879758551307847,3.79,9.18,5.39,0.4686922157260472,2.0549951456913376,0.588203982462994,2.766666666666667,22.1,15.233333333333333,28.635,0.20599999999999952,12.145,0.4579999999999999,4.566666666666666,2.1833333333333336,0,0
NP,NP1,2021,137,6,0.05216138860204213,0.5699999999999998,4.9469755244755245,1.59,8.77,7.18,0.09378081775980168,2.0450517165789157,0.4890068019237792,2.692857142857143,27.9,15.307142857142855,30.115,-0.16499999999999973,10.465,0.05833333333333357,0,3.3714285714285714,2,1
NP,NP3,2021,137,6,0.05216138860204213,0.5799999999999996,6.150855148342059,2.78,9.8,7.020000000000001,0.0838024090069079,1.5683682957294256,0.6365173434429948,2.692857142857143,27.9,15.307142857142855,29.585,0.03833333333333341,11.75,-0.18666666666666684,0,3.3714285714285714,1,1
NP,NP4,2021,137,6,0.05216138860204213,1.1,5.467552083333335,-0.74,13.93,14.67,0.40635662917094345,2.3595138687208306,0.4898860251209865,2.692857142857143,27.9,15.307142857142855,29.95,0.1833333333333336,10.76,0.046666666666666856,0,3.3714285714285714,4,1
PJ,PJ7,2021,137,6,0.05216138860204213,1.61,6.699213286713287,3.26,10.68,7.42,-0.07890929213747122,1.7924582950259038,0.5564899427346405,2.692857142857143,27.9,15.307142857142855,27.425,0.3583333333333331,11.625,-0.17500000000000013,0,3.3714285714285714,0,0
PP,PP1,2021,137,6,0.05216138860204213,0.8099999999999998,5.426263157894737,0.82,9.01,8.19,-0.09770671511606956,1.7249437673722543,0.580171198844707,2.692857142857143,27.9,15.307142857142855,29.715,0.14833333333333343,10.98,0.05999999999999991,0,3.3714285714285714,4,1
PP,PP3,2021,137,6,0.05216138860204213,0.9900000000000002,5.254493006993006,2.34,8.48,6.140000000000001,-0.01922745514460429,1.7451231035355756,0.568239862088256,2.692857142857143,27.9,15.307142857142855,29.21,-0.3633333333333333,10.9,0.033333333333333215,0,3.3714285714285714,0,0
NP,NP1,2021,131,3,0.15078645932934642,0.6500000000000001,5.223758389261745,3.02,7.23,4.210000000000001,0.027007990706833383,2.448087128388885,0.40195654732274494,3.35,23.4,14.65,30.61,0,10.489999999999998,-0.13333333333333344,0,2.966666666666667,0,0
NP,NP3,2021,131,3,0.15078645932934642,0.6300000000000003,6.467830508474576,4.61,7.98,3.37,-0.2093715910304973,2.2157959026519736,0.4633415690326372,3.35,23.4,14.65,29.37,0.06666666666666643,12.205,0.07000000000000028,0,2.966666666666667,3,1
NP,NP4,2021,131,3,0.15078645932934642,0.6299999999999994,5.912566666666667,1.4,10.63,9.23,0.1945677565906478,2.1933772084148964,0.46549911786066617,3.35,23.4,14.65,28.45,0.6333333333333329,10.8,-0.1200000000000004,0,2.966666666666667,1,1
PJ,PJ7,2021,131,3,0.15078645932934642,1.0099999999999998,6.366739926739927,3.72,10.32,6.6,0.22180954639866957,2.5772992308352403,0.39988282209951226,3.35,23.4,14.65,27.03,-0.45333333333333314,12.335,-0.12333333333333309,0,2.966666666666667,1,1
PP,PP1,2021,131,3,0.15078645932934642,0.7800000000000002,5.22970802919708,3.27,7.48,4.210000000000001,-0.053180713104821725,1.990102846228983,0.49477461312874577,3.35,23.4,14.65,29.555,-0.19000000000000009,10.995,-0.1299999999999996,0,2.966666666666667,1,1
PP,PP3,2021,131,3,0.15078645932934642,0.8500000000000001,5.10125,3.45,6.59,3.14,0.05192288413501824,2.4365743708022727,0.4040049787323072,3.35,23.4,14.65,29.445,0.5700000000000003,10.95,-0.09999999999999964,0,2.966666666666667,0,0
NP,NP1,2021,128,4,0.4727406873275274,0.8699999999999999,3.1981462140992165,1.98,4.61,2.6300000000000003,0.3728574048838315,2.0346982522575847,0.5530498035469462,-1.51,12.9,19.51,29.53,0.54,10.565,0.0625,0,3,2,1
NP,NP3,2021,128,4,0.4727406873275274,0.99,3.808355091383812,2.26,5.92,3.66,0.3429732816036726,2.5451428198679507,0.4337710231986532,-1.51,12.9,19.51,28.135,0.5674999999999999,11.845,0.12749999999999995,0,3,2,1
NP,NP4,2021,128,4,0.4727406873275274,0.6100000000000001,1.983629242819844,-1.2,5.65,6.8500000000000005,0.05713827519298275,2.631223521051538,0.3763422327715485,-1.51,12.9,19.51,27.975,-0.23749999999999985,10.71,0.13500000000000023,0,3,0,0
PP,PP1,2021,128,4,0.4727406873275274,0.7000000000000001,2.862146596858639,0.78,4.51,3.73,0.17292376465433978,2.0483626059694617,0.4963500800959049,-1.51,12.9,19.51,30.025,-0.09250000000000023,11.265,-0.03750000000000009,0,3,2,1
PP,PP3,2021,128,4,0.4727406873275274,0.5900000000000003,3.428155844155844,1.94,4.81,2.87,0.07238928569714292,1.6570310606186316,0.5988258972632784,-1.51,12.9,19.51,28.43,0.08000000000000007,11.17,-0.03500000000000014,0,3,2,1
NP,NP3,2021,124,3,0.8084288148053297,0.5099999999999998,3.961363636363637,2.45,5.58,3.13,0.31462906294016224,2.0920368732425048,0.5166744643880524,-0.2125,18.1,18.2125,27.83,-0.5533333333333333,10.81,0.5200000000000001,2.8500000000000005,3.75,10,1
PJ,PJ2,2021,54,2,0.5099371244366063,1.09,3.8834653465346536,3.08,4.38,1.2999999999999998,-0.4032256916253937,2.690495166421276,0.4223756117205417,0.43333333333333335,12.4,17.566666666666666,29.51,-0.5099999999999998,10.66,0.1999999999999993,0,1.6666666666666663,0,0
PJ,PJ6,2021,54,2,0.5099371244366063,0.91,5.129609756097561,4.42,5.85,1.4299999999999995,-0.22779490816936576,2.716835559449077,0.3780721989662133,0.43333333333333335,12.4,17.566666666666666,29.46,0.5199999999999996,10.42,0.08000000000000007,0,1.6666666666666663,0,0
PP,PP1,2021,54,2,0.5099371244366063,0.4499999999999997,4.443233830845771,3.35,5.75,2.4,0.38458982865978064,2.830753175967885,0.39626717285730034,0.43333333333333335,12.4,17.566666666666666,29.35,0.11999999999999922,11.52,0.33999999999999986,0,1.6666666666666663,0,0
PJ,PJ6,2021,47,5,0.04340925840503755,1.7400000000000002,8.094025157232705,6.06,9.44,3.38,-0.08180728694243027,2.281233744632468,0.436699182125572,2.25,23,15.75,28.340000000000003,-0.06799999999999998,9.445,0.12199999999999989,3.733333333333333,2.4333333333333336,1,1
NP,NP1,2020,145,8,0.2010911754349444,1.32,7.752634961439589,5.39,10.45,5.06,-0.2797053639128848,2.5630181787284885,0.4181081505184845,5.055555555555555,21.9,12.944444444444445,26.380000000000003,-0.14000000000000012,NA,NA,9.566666666666666,3.888888888888889,34,1
NP,NP3,2020,145,8,0.2010911754349444,1.0800000000000003,8.324103225806452,5.9,10.42,4.52,-0.372205846023069,2.85349481166013,0.3966153018973877,5.055555555555555,21.9,12.944444444444445,24.74,-0.1824999999999997,NA,NA,9.566666666666666,3.888888888888889,5,1
PP,PP3,2020,145,8,0.2010911754349444,0.5699999999999998,8.483504611330698,6.22,10.27,4.05,-0.4652238132803032,2.489023699987081,0.4858480887045358,5.055555555555555,21.9,12.944444444444445,24.59,-0.3375000000000004,NA,NA,9.566666666666666,3.888888888888889,0,0
NP,NP1,2020,137,4,0.7302999674951024,0.47,8.314195250659631,6.85,10.12,3.27,0.4052818452012807,2.866623127115452,0.401253519378868,4.53,16.7,13.47,27.265,-0.16249999999999964,NA,NA,0.5599999999999999,3.7,14,1
NP,NP3,2020,137,4,0.7302999674951024,0.52,9.099738903394256,7.61,10.4,2.79,0.1008783945062144,2.8335844524061344,0.351892144671588,4.53,16.7,13.47,25.495,-0.012500000000000178,NA,NA,0.5599999999999999,3.7,3,1
PP,PP1,2020,137,5,0.7676851520158665,0.6100000000000001,8.493571428571428,6.85,10.24,3.390000000000001,0.06256028850203046,2.389796473019296,0.41569397355752935,5.208333333333333,16.9,12.791666666666666,26.89,0.16400000000000006,NA,NA,0.4666666666666666,3.45,0,0
PP,PP3,2020,137,5,0.7676851520158665,0.5800000000000001,8.482241014799154,7.03,9.66,2.63,0.10842319037335146,3.101950226172499,0.3227538240406967,5.208333333333333,16.9,12.791666666666666,25.82,0.048000000000000403,NA,NA,0.4666666666666666,3.45,0,0
NP,NP1,2020,133,6,0.9559070820422284,1.04,6.770104166666665,4.46,9.21,4.750000000000001,0.1558463437531871,2.057864034010308,0.4934943460129615,5.592857142857143,23.1,12.407142857142857,27.42,0.05666666666666664,NA,NA,1.085714285714286,3.6714285714285713,9,1
PJ,PJ2,2020,130,7,0.8266109435073401,1.7400000000000002,6.604384615384616,4.41,8.83,4.42,-0.05057734318063711,2.284972505858048,0.4353988664045188,5.1875,25.5,12.8125,26.375,0.04428571428571461,NA,NA,2.1625,3.85,1,1
NP,NP1,2020,127,4,0.7335128953705887,0.4500000000000002,7.10968503937008,4.1,9.44,5.34,-0.42582993517412177,3.069799066108463,0.380254211627362,5.38,22.3,12.62,26.95,0.15000000000000036,NA,NA,1.94,3.66,7,1
NP,NP1,2020,123,6,0.260519535448057,0.62,5.312849557522123,1.77,7.91,6.140000000000001,-0.2634144992431671,1.84694171108281,0.5740917079502571,1.9357142857142853,19.200000000000003,16.064285714285713,27.54,-0.29666666666666686,NA,NA,3.042857142857143,3.785714285714286,10,1
NP,NP2,2020,123,6,0.260519535448057,0.8999999999999999,5.103321554770318,1.6,7.77,6.17,-0.07602528107514332,1.555374101024366,0.6409694748201545,1.9357142857142853,19.200000000000003,16.064285714285713,26.66,-0.1633333333333328,NA,NA,3.042857142857143,3.785714285714286,0,0
PJ,PJ2,2020,123,6,0.260519535448057,1.69,5.070659898477158,1.94,8.2,6.26,-0.0038665950335648766,1.6962727041947143,0.5845608890774446,1.9357142857142853,19.200000000000003,16.064285714285713,26.3,-0.02666666666666669,NA,NA,3.042857142857143,3.785714285714286,0,0
PJ,PJ6,2020,123,6,0.260519535448057,1.58,5.508747884940778,3.62,7.67,4.05,0.005637297587983939,1.7836961002853218,0.555919504191548,1.9357142857142853,19.200000000000003,16.064285714285713,26.31,0.08000000000000007,NA,NA,3.042857142857143,3.785714285714286,0,0
PP,PP1,2020,123,6,0.260519535448057,0.6599999999999997,5.153118644067795,1.62,7.89,6.27,-0.06655298573734834,1.6214808520494912,0.6142285260998485,1.9357142857142853,19.200000000000003,16.064285714285713,26.81,0.07333333333333354,NA,NA,3.042857142857143,3.785714285714286,0,0
NP,NP1,2020,117,4,0.02285386391140452,0.4000000000000001,4.731921052631579,1.63,6.64,5.01,-0.23071233523065737,2.137717708728096,0.4864246182265235,1.3,21.1,16.7,27.265,0.5824999999999996,NA,NA,0,2.44,7,1
NP,NP2,2020,117,4,0.02285386391140452,0.8600000000000003,4.429763157894737,1.86,6.86,5,0.01708084347837896,1.730655178947166,0.5704086652147391,1.3,21.1,16.7,26.28,0.4349999999999996,NA,NA,0,2.44,0,0
PJ,PJ2,2020,117,4,0.02285386391140452,1.29,4.3602356020942405,2.04,6.4,4.36,0.022279471293369983,1.9512492048354904,0.5060617829381031,1.3,21.1,16.7,26.3,0.04000000000000004,NA,NA,0,2.44,0,0
PJ,PJ6,2020,117,4,0.02285386391140452,1.4299999999999995,4.497480519480519,2.81,5.88,3.07,0.2512465543852521,1.8524526233221332,0.5667389370459986,1.3,21.1,16.7,25.875,0.09750000000000014,NA,NA,0,2.44,0,0
PP,PP1,2020,117,4,0.02285386391140452,0.5800000000000001,4.091830238726791,1.59,6.41,4.82,-0.0721988877428075,1.780415295581153,0.557157415231501,1.3,21.1,16.7,26.415,0.08750000000000036,NA,NA,0,2.44,0,0
NP,NP2,2020,113,4,0.20202661247255108,1,4.168070175438596,1.42,6.4,4.98,-0.9195804449164382,3.57797315311252,0.5111558661901326,-0.3999999999999999,17.4,18.4,25.395,0.007500000000000284,NA,NA,0.3,2.98,0,0
PJ,PJ2,2020,113,4,0.20202661247255108,1.2899999999999998,4.521260053619304,2.15,6.22,4.07,-0.5348046145023501,4.621483523883936,0.27504755574437634,-0.3999999999999999,17.4,18.4,26.03,0.09499999999999977,NA,NA,0.3,2.98,1,1
PJ,PJ6,2020,113,4,0.20202661247255108,1.6800000000000002,4.600748663101605,2.56,6.38,3.82,-0.8053507230146113,5.400059224159719,0.302182298408446,-0.3999999999999999,17.4,18.4,26.265,-0.2925000000000004,NA,NA,0.3,2.98,0,0
PP,PP1,2020,113,4,0.20202661247255108,0.48,4.206005361930295,1.27,5.84,4.57,-0.9959440410235948,3.712090406561027,0.5315687681074762,-0.3999999999999999,17.4,18.4,26.27,-0.015000000000000568,NA,NA,0.3,2.98,0,0
NP,NP2,2020,109,6,0.6734216698881118,0.91,4.250803571428572,1.78,6.21,4.43,-0.19695687914150445,1.5711097670841732,0.6554266363999107,0.7714285714285718,21.3,17.228571428571428,25.86,-0.16000000000000014,NA,NA,5.728571428571429,2.857142857142857,2,1
PJ,PJ2,2020,109,6,0.6734216698881118,1.7599999999999998,4.218711340206186,1.67,5.58,3.91,-0.5512715039533281,1.8370657366582035,0.7045395727747171,0.7714285714285718,21.3,17.228571428571428,25.935,-0.03166666666666688,NA,NA,5.728571428571429,2.857142857142857,0,0
